Num rows;Error TRSV multi-kernel fp64;Error TRSV single kernel fp64;Error TRSV fp64;Error CUBLAS TRSV fp64
16150;+nan;+nan;+nan;+nan
16200;+nan;+nan;+nan;+nan
16250;+nan;+nan;+nan;+nan
16300;+nan;+nan;+nan;+nan
16350;+nan;+nan;+nan;+nan
16400;+nan;+nan;+nan;+nan
16450;+nan;+nan;+nan;+nan
16500;+nan;+nan;+nan;+nan
16550;+nan;+nan;+nan;+nan
16600;+nan;+nan;+nan;+nan
16650;+nan;+nan;+nan;+nan
16700;+nan;+nan;+nan;+nan
16750;+nan;+nan;+nan;+nan
16800;+nan;+nan;+nan;+nan
16850;+nan;+nan;+nan;+nan
16900;+nan;+nan;+nan;+nan
16950;+nan;+nan;+nan;+nan
17000;+nan;+nan;+nan;+nan
17050;+nan;+nan;+nan;+nan
17100;+nan;+nan;+nan;+nan
17150;+nan;+nan;+nan;+nan
17200;+nan;+nan;+nan;+nan
17250;+nan;+nan;+nan;+nan
17300;+nan;+nan;+nan;+nan
17350;+nan;+nan;+nan;+nan
17400;+nan;+nan;+nan;+nan
17450;+nan;+nan;+nan;+nan
17500;+nan;+nan;+nan;+nan
17550;+nan;+nan;+nan;+nan
17600;+nan;+nan;+nan;+nan
17650;+nan;+nan;+nan;+nan
17700;+nan;+nan;+nan;+nan
17750;+nan;+nan;+nan;+nan
17800;+nan;+nan;+nan;+nan
17850;+nan;+nan;+nan;+nan
17900;+nan;+nan;+nan;+nan
17950;+nan;+nan;+nan;+nan
18000;+nan;+nan;+nan;+nan
18050;+nan;+nan;+nan;+nan
18100;+nan;+nan;+nan;+nan
18150;+nan;+nan;+nan;+nan
18200;+nan;+nan;+nan;+nan
18250;+nan;+nan;+nan;+nan
18300;+nan;+nan;+nan;+nan
18350;+nan;+nan;+nan;+nan
18400;+nan;+nan;+nan;+nan
18450;+nan;+nan;+nan;+nan
18500;+nan;+nan;+nan;+nan
18550;+nan;+nan;+nan;+nan
18600;+nan;+nan;+nan;+nan
18650;+nan;+nan;+nan;+nan
18700;+nan;+nan;+nan;+nan
18750;+nan;+nan;+nan;+nan
18800;+nan;+nan;+nan;+nan
18850;+nan;+nan;+nan;+nan
18900;+nan;+nan;+nan;+nan
18950;+nan;+nan;+nan;+nan
19000;+nan;+nan;+nan;+nan
19050;+nan;+nan;+nan;+nan
19100;+nan;+nan;+nan;+nan
19150;+nan;+nan;+nan;+nan
19200;+nan;+nan;+nan;+nan
19250;+nan;+nan;+nan;+nan
19300;+nan;+nan;+nan;+nan
19350;+nan;+nan;+nan;+nan
19400;+nan;+nan;+nan;+nan
19450;+nan;+nan;+nan;+nan
19500;+nan;+nan;+nan;+nan
19550;+nan;+nan;+nan;+nan
19600;+nan;+nan;+nan;+nan
19650;+nan;+nan;+nan;+nan
19700;+nan;+nan;+nan;+nan
19750;+nan;+nan;+nan;+nan
19800;+nan;+nan;+nan;+nan
19850;+nan;+nan;+nan;+nan
19900;+nan;+nan;+nan;+nan
19950;+nan;+nan;+nan;+nan
20000;+nan;+nan;+nan;+nan
20050;+nan;+nan;+nan;+nan
20100;+nan;+nan;+nan;+nan
20150;+nan;+nan;+nan;+nan
20200;+nan;+nan;+nan;+nan
20250;+nan;+nan;+nan;+nan
20300;+nan;+nan;+nan;+nan
20350;+nan;+nan;+nan;+nan
20400;+nan;+nan;+nan;+nan
20450;+nan;+nan;+nan;+nan
20500;+nan;+nan;+nan;+nan
20550;+nan;+nan;+nan;+nan
20600;+nan;+nan;+nan;+nan
20650;+nan;+nan;+nan;+nan
20700;+nan;+nan;+nan;+nan
20750;+nan;+nan;+nan;+nan
20800;+nan;+nan;+nan;+nan
20850;+nan;+nan;+nan;+nan
20900;+nan;+nan;+nan;+nan
20950;+nan;+nan;+nan;+nan
21000;+nan;+nan;+nan;+nan
21050;+nan;+nan;+nan;+nan
21100;+nan;+nan;+nan;+nan
21150;+nan;+nan;+nan;+nan
21200;+nan;+nan;+nan;+nan
21250;+nan;+nan;+nan;+nan
21300;+nan;+nan;+nan;+nan
21350;+nan;+nan;+nan;+nan
21400;+nan;+nan;+nan;+nan
21450;+nan;+nan;+nan;+nan
21500;+nan;+nan;+nan;+nan
21550;+nan;+nan;+nan;+nan
21600;+nan;+nan;+nan;+nan
21650;+nan;+nan;+nan;+nan
21700;+nan;+nan;+nan;+nan
21750;+nan;+nan;+nan;+nan
21800;+nan;+nan;+nan;+nan
21850;+nan;+nan;+nan;+nan
21900;+nan;+nan;+nan;+nan
21950;+nan;+nan;+nan;+nan
22000;+nan;+nan;+nan;+nan
22050;+nan;+nan;+nan;+nan
22100;+nan;+nan;+nan;+nan
22150;+nan;+nan;+nan;+nan
22200;+nan;+nan;+nan;+nan
22250;+nan;+nan;+nan;+nan
22300;+nan;+nan;+nan;+nan
22350;+nan;+nan;+nan;+nan
22400;+nan;+nan;+nan;+nan
22450;+nan;+nan;+nan;+nan
22500;+nan;+nan;+nan;+nan
22550;+nan;+nan;+nan;+nan
22600;+nan;+nan;+nan;+nan
22650;+nan;+nan;+nan;+nan
22700;+nan;+nan;+nan;+nan
22750;+nan;+nan;+nan;+nan
22800;+nan;+nan;+nan;+nan
22850;+nan;+nan;+nan;+nan
22900;+nan;+nan;+nan;+nan
22950;+nan;+nan;+nan;+nan
23000;+nan;+nan;+nan;+nan
23050;+nan;+nan;+nan;+nan
23100;+nan;+nan;+nan;+nan
23150;+nan;+nan;+nan;+nan
23200;+nan;+nan;+nan;+nan
23250;+nan;+nan;+nan;+nan
23300;+nan;+nan;+nan;+nan
23350;+nan;+nan;+nan;+nan
23400;+nan;+nan;+nan;+nan
23450;+nan;+nan;+nan;+nan
23500;+nan;+nan;+nan;+nan
23550;+nan;+nan;+nan;+nan
23600;+nan;+nan;+nan;+nan
23650;+nan;+nan;+nan;+nan
23700;+nan;+nan;+nan;+nan
23750;+nan;+nan;+nan;+nan
23800;+nan;+nan;+nan;+nan
23850;+nan;+nan;+nan;+nan
23900;+nan;+nan;+nan;+nan
23950;+nan;+nan;+nan;+nan
24000;+nan;+nan;+nan;+nan
24050;+nan;+nan;+nan;+nan
24100;+nan;+nan;+nan;+nan
24150;+nan;+nan;+nan;+nan
24200;+nan;+nan;+nan;+nan
24250;+nan;+nan;+nan;+nan
24300;+nan;+nan;+nan;+nan
24350;+nan;+nan;+nan;+nan
24400;+nan;+nan;+nan;+nan
24450;+nan;+nan;+nan;+nan
24500;+nan;+nan;+nan;+nan
24550;+nan;+nan;+nan;+nan
